Symbol,Tag,Strike,Price,Barone-Adesi Whaley,Bjerksund Stensland,Cox-Ross-Rubenstein,Jarrow-Rudd,Equal Probabilities,Trigeorgis,Tian,Leisen-Reimer
AAPL,AAPL170616P00047500,47.50,0.37,0.6513269254194971,0.6122208340594,0.6204645123243651,0.6199268476678612,0.6251507913647553,0.6199431618443824,0.6186963536235498,0.6204463099308839
AAPL,AAPL170616P00050000,50.00,0.51,0.8599187652791974,0.8136364134433194,0.8241492755383504,0.8246813815688245,0.8295119661372626,0.8247022567568569,0.8221832436853236,0.8245589462156429
AAPL,AAPL170616P00055000,55.00,0.81,1.409705578299057,1.3473778386137525,1.3657694806097076,1.3649820249905622,1.3733104906472737,1.3650112334593363,1.3632639806165363,1.3652785416263264
AAPL,AAPL170616P00060000,60.00,1.00,2.1591678847013926,2.079121193130561,2.106979759502427,2.105787820187333,2.117056644186019,2.105823596904693,2.103903297299744,2.106151655262707
AAPL,AAPL170616P00065000,65.00,1.42,3.1303011802503526,3.0317921614299905,3.0712148438335167,3.0702754578210327,3.08323797804862,3.070321405734508,3.067908318348395,3.0699651178159275
AAPL,AAPL170616P00070000,70.00,2.00,4.33858397041556,4.221991037326561,4.27173160077912,4.275284463385826,4.285748893791123,4.275337533639676,4.268257715550579,4.272960091119818
AAPL,AAPL170616P00075000,75.00,2.75,5.793254845329899,5.660172468110005,5.7225019532386865,5.728074347411742,5.738476099047068,5.728134226595521,5.7189352355662155,5.72507639080465
AAPL,AAPL170616P00080000,80.00,3.90,7.498005071781979,7.351232239382625,7.429375235451558,7.434125928411386,7.446968638172599,7.43419185563463,7.4257997176819845,7.430589604905402
AAPL,AAPL170616P00082500,82.50,4.75,8.444016499538387,8.291795618368837,8.378833638679481,8.381804939978402,8.397151596349042,8.381873481632336,8.37528031375819,8.378365115763467
AAPL,AAPL170616P00085000,85.00,5.40,9.451878923530337,9.295303905570933,9.391370178309252,9.39153955757849,9.410329379336943,9.391610387013468,9.387875792810235,9.38896974552487
AAPL,AAPL170616P00087500,87.50,6.35,10.520904275624389,10.36117180497358,10.46580144953207,10.46207978885838,10.485295651899856,10.462152545754629,10.462328880034406,10.461743954820104
AAPL,AAPL170616P00090000,90.00,7.04,11.650232230237222,11.488623654276466,11.600511601430648,11.593399481230142,11.620430851145978,11.593472753329674,11.596961051494334,11.595841837053786
AAPL,AAPL170616P00092500,92.50,8.25,12.838857010148985,12.676718182457172,12.79368129400962,12.792087208975278,12.813902131004113,12.792161771655843,12.790157477116052,12.790257608285556
AAPL,AAPL170616P00095000,95.00,9.40,14.085652410433397,13.924371775570549,14.043205405491332,14.048532481687635,14.063596779123165,14.048608014548659,14.039719153882547,14.043862545355735
AAPL,AAPL170616P00097500,97.50,10.60,15.38939490213715,15.23038011296017,15.356342213049501,15.36024791081236,15.37693917950956,15.360323937701645,15.353407347046693,15.35540857295346
AAPL,AAPL170616P00100000,100.00,11.76,16.74878475142871,16.5934381045155,16.728418009715153,16.724796932477453,16.749029345679006,16.724872969124572,16.725628819097125,16.723565484905176
AAPL,AAPL170616P00105000,105.00,15.05,19.629039379371388,19.485086485367646,19.623946549150862,19.629324671045584,19.644160220812584,19.629400271258607,19.62109161805118,19.624042053903068
AAPL,AAPL170616P00110000,110.00,16.70,22.715172957253483,22.587511446036245,22.73930035424341,22.731755744791588,22.7592227791022,22.731829861579005,22.736924222504307,22.733544361167837
AAPL,AAPL170616P00115000,115.00,21.89,25.99575102179126,25.88829119286877,26.04266421885071,26.045172939667484,26.062075137534723,26.045243631936426,26.040830114840936,26.039901926986644
AAPL,AAPL170616P00120000,120.00,24.74,29.459503257653704,29.374746890115865,29.531914574757874,29.53670239659119,29.549795142453384,29.536770168361667,29.530080126050173,29.530900134087933
AAPL,AAPL170616P00125000,125.00,28.87,33.09558673471523,33.03422070436983,33.199858692509835,33.197762255664884,33.21678550473135,33.19782640353989,33.198292535473776,33.1948626100676
AAPL,AAPL170616P00130000,130.00,33.20,36.89377256951441,36.85428554914668,37.025861325253864,37.0199290190187,37.041660984458154,37.01998593117098,37.02467909278172,37.02000110883862
AAPL,AAPL170616P00135000,135.00,41.45,40.844570582203666,40.82289874674005,41.000877752293036,40.99859581698205,41.015396566741806,40.998647923773646,41.000215818055395,40.995672758784636
AAPL,AAPL170616P00140000,140.00,46.28,44.93930495368479,44.92851051993123,45.115698356958724,45.11556526002256,45.12880539837078,45.115612150302205,45.11524497239943,45.11133505822169
AAPL,AAPL170616P00145000,145.00,42.00,49.17015205878076,49.160136702732196,49.361288783072474,49.362136415275636,49.37286978523945,49.36217774178415,49.36089437653102,49.35751784372355
AAPL,AAPL170616P00150000,150.00,51.91,53.530149810149055,53.507403533753276,53.72889693538072,53.72991563913284,53.73888158523604,53.72995116100274,53.72855104033284,53.725357900902075
AAPL,AAPL170616P00155000,155.00,56.78,58.01318613330399,57.96057098494374,58.21031022947802,58.21099844648661,58.21865107157224,58.21102803172096,58.209990113097376,58.20693463407499
AAPL,AAPL170616P00165000,165.00,71.50,67.3280085275967,67.14884664709352,67.48459694026012,67.4840089661887,67.48955331893416,67.48402635252224,67.48432041907019,67.48159786938457
BA,BA170616P00065000,65.00,0.83,0.14485934545504878,0.12357319423857405,0.12550930964849785,0.12591806167168557,0.1251069670708703,0.12591840667731533,0.1251390787385142,0.12603948302939938
BA,BA170616P00070000,70.00,1.10,0.2727243839400345,0.24159227418638807,0.24626282000865862,0.2463859484422065,0.24561391564797708,0.24638650909252494,0.24562084491989966,0.2465255687457715
