Symbol,Option name,Strike,Price,BaroneAdiseWhaely,BjerksundStensland,FDAmericanEngine,jr,crr,eqp,trigeorgis,tian,lr
MMM,MMM160624P00148000,148,0.39,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94,50.94
MMM,MMM160624P00149000,149,0.35,51.94,51.94,51.94,51.94,51.94,51.94,51.94,51.94,51.94
MMM,MMM160624P00150000,150,0.35,52.94,52.94,52.94,52.94,52.94,52.94,52.94,52.94,52.94
MMM,MMM160624P00152500,152.5,0.51,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44
MMM,MMM160624P00155000,155,0.62,57.94,57.94,57.94,57.94,57.94,57.94,57.94,57.94,57.94
MMM,MMM160624P00157500,157.5,0.58,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44,60.44
MMM,MMM160624P00160000,160,0.53,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95
MMM,MMM160624P00162500,162.5,0.81,65.45,65.45,65.45,65.45,65.45,65.45,65.45,65.45,65.45
MMM,MMM160624P00165000,165,1.25,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95
MMM,MMM160624P00167500,167.5,1.9,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45,70.45
MMM,MMM160624P00170000,170,2.94,72.95,72.95,72.95,72.95,72.95,72.95,72.95,72.95,72.95
MMM,MMM160624P00175000,175,7.58,77.95,77.95,77.95,77.95,77.95,77.95,77.95,77.95,77.95
MMM,MMM160701P00149000,149,0.19,51.94,51.94,51.94,51.94,51.94,51.94,51.94,51.94,51.94
MMM,MMM160701P00150000,150,0.64,52.94,52.94,52.94,52.94,52.94,52.94,52.94,52.94,52.94
MMM,MMM160701P00152500,152.5,0.5,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44
MMM,MMM160701P00155000,155,0.35,57.94,57.94,57.94,57.94,57.94,57.94,57.94,57.94,57.94
MMM,MMM160701P00160000,160,0.64,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95
MMM,MMM160701P00162500,162.5,1.05,65.45,65.45,65.45,65.45,65.45,65.45,65.45,65.45,65.45
MMM,MMM160701P00165000,165,1.55,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95,67.95
