MMM,MMM160624P00155000,155.00,0.25,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160624P00157500,157.50,0.21,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160624P00160000,160.00,0.36,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160624P00162500,162.50,0.81,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160624P00165000,165.00,1.25,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160624P00167500,167.50,1.90,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160624P00170000,170.00,2.94,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
MMM,MMM160624P00175000,175.00,7.58,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62
MMM,MMM160701P00149000,149.00,0.19,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160701P00150000,150.00,0.64,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160701P00152500,152.50,0.50,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160701P00155000,155.00,0.35,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160701P00160000,160.00,0.65,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160701P00162500,162.50,0.92,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160701P00165000,165.00,1.55,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160701P00167500,167.50,2.31,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160701P00170000,170.00,3.30,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
MMM,MMM160701P00175000,175.00,5.50,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62
MMM,MMM160701P00177500,177.50,7.50,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12
MMM,MMM160708P00150000,150.00,0.24,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160708P00152500,152.50,0.35,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160708P00157500,157.50,0.69,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160708P00160000,160.00,0.96,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160708P00170000,170.00,3.60,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
MMM,MMM160708P00172500,172.50,5.00,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12
MMM,MMM160715P00080000,80.00,0.03,-0.0,nan,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160715P00085000,85.00,0.01,-0.0,nan,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160715P00090000,90.00,0.01,-0.0,nan,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160715P00095000,95.00,0.01,-0.0,nan,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160715P00100000,100.00,0.02,-0.0,nan,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160715P00105000,105.00,0.02,-0.0,nan,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160715P00110000,110.00,0.03,-0.0,nan,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160715P00115000,115.00,0.03,-0.0,nan,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160715P00120000,120.00,0.05,-0.0,nan,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,MMM160715P00125000,125.00,0.11,-0.0,nan,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
