Symbol,Tag,Strike,Price,Barone-Adesi Whaley,Bjerksund Stensland,Cox-Ross-Rubenstein,Jarrow-Rudd,Equal Probabilities,Trigeorgis,Tian,Leisen-Reimer
AAPL,AAPL170616C00047500,47.50,46.40,53.881856999581785,53.881441139566185,53.88127446938915,53.92608212690134,53.88143832731109,53.88027642444172,53.881857579125644
AAPL,AAPL170616C00050000,50.00,43.50,51.73116193043458,51.73039402728867,51.73120531807757,51.77563146893152,51.731373657528,51.72906465768531,51.73116251288937
AAPL,AAPL170616C00055000,55.00,38.80,47.55789837037593,47.55812852555233,47.55744470647759,47.60542785025334,47.557620954423264,47.55632914095354,47.55789889242066
AAPL,AAPL170616C00060000,60.00,39.40,43.577412610207034,43.577840470428164,43.577092695551435,43.62753574405495,43.577274676053996,43.57555227141212,43.57741298766874
AAPL,AAPL170616C00065000,65.00,35.65,39.810509565930126,39.811588331451304,39.81062153804956,39.862980948054975,39.81081314695587,39.809186905302646,39.81050973071243
AAPL,AAPL170616C00070000,70.00,30.22,36.2713916214584,36.26957381707251,36.273857544105084,36.322653266771916,36.27405524115248,36.26716997862631,36.27139152901595
AAPL,AAPL170616C00075000,75.00,24.55,32.96793684973705,32.96421322438527,32.97114462228307,33.01887012825937,32.97134796300472,32.96189721481725,32.96793648125536
AAPL,AAPL170616C00080000,80.00,20.50,29.90239265184558,29.900206943047912,29.906044899722154,29.95621933350898,29.90625303764997,29.898035331939024,29.902392012502744
AAPL,AAPL170616C00082500,82.50,18.57,28.458219815633104,28.457977961544678,28.46157599479754,28.51454768633196,28.461786081525265,28.455887248692548,28.458219049189875
AAPL,AAPL170616C00085000,85.00,16.50,27.07227705019145,27.07423440429536,27.07435543791658,27.131261346830875,27.07456710298399,27.072223622764646,27.072276164970372
AAPL,AAPL170616C00087500,87.50,17.20,25.743672779272977,25.747399817792587,25.742762440284817,25.80476951278719,25.74297526220526,25.745463346762342,25.74367178524484
AAPL,AAPL170616C00090000,90.00,13.95,24.471338127878,24.47551257395521,24.467257207660094,24.533097027874984,24.467469367312525,24.473640786674874,24.471337036320882
AAPL,AAPL170616C00092500,92.50,12.30,23.254053752582514,23.25628644252726,23.25537169788659,23.31394528108789,23.25558454140305,23.254466578333528,23.25405257579205
AAPL,AAPL170616C00095000,95.00,11.15,22.0904748891773,22.087179652529425,22.09505168930222,22.144761583268053,22.09526470635791,22.085396866770054,22.090473640002443
AAPL,AAPL170616C00097500,97.50,9.90,20.979154479298828,20.978476352743936,20.983486905827657,21.036058283482575,20.983699547244353,20.97759824824109,20.97915317113081
AAPL,AAPL170616C00100000,100.00,8.72,19.91856431181578,19.922619940626195,19.91772517313704,19.97996450840573,19.91793685706618,19.921772740775012,19.91856295809649
AAPL,AAPL170616C00105000,105.00,6.80,17.943169040732993,17.93950351861756,17.94794627412786,17.99586564627148,17.948155746871173,17.9386509263364,17.94316763583058
AAPL,AAPL170616C00110000,110.00,5.10,16.15111976651935,16.15553137625278,16.145286273903224,16.211141013497347,16.14549293585723,16.15554550324133,16.151118361024857
AAPL,AAPL170616C00115000,115.00,3.78,14.528978204032938,14.529096717767565,14.532584511693905,14.583778868634251,14.532784958900267,14.529924450302197,14.528976843638121
AAPL,AAPL170616C00120000,120.00,2.81,13.063392973567336,13.059266947398743,13.06780149844485,13.111582086431442,13.067997324152271,13.059864974785532,13.06339169769315
AAPL,AAPL170616C00125000,125.00,1.95,11.741363413595723,11.743327653254276,11.741188482825995,11.794216089557667,11.74137912972762,11.74458066702011,11.741362254745535
AAPL,AAPL170616C00130000,130.00,1.42,10.550426789171047,10.553833166685434,10.543711863865894,10.603145343822705,10.543891629579036,10.555659066524195,10.550425772816146
AAPL,AAPL170616C00135000,135.00,1.11,9.47878346979099,9.481334809993477,9.476941969204104,9.528933363282231,9.477115050891804,9.48364838308116,9.478782614593438
AAPL,AAPL170616C00140000,140.00,0.80,8.515373083632179,8.51636684131207,8.515819276555511,8.562128523534899,8.515985284178235,8.519082574779107,8.515372401957457
AAPL,AAPL170616C00145000,145.00,0.65,7.649912825950773,7.6495978711336186,7.651188238694682,7.693415189053608,7.651346839251726,7.652632468263369,7.649912324548903
AAPL,AAPL170616C00150000,150.00,0.51,6.872907258076038,6.8719649317406795,6.874189490976905,6.913747457654718,6.874340412193777,6.875239455295457,6.8729069388156265
AAPL,AAPL170616C00155000,155.00,0.33,6.175637218895634,6.174787770925505,6.176365430573365,6.214463103579029,6.176508463442157,6.1782293623313365,6.1756370795543605
AAPL,AAPL170616C00160000,160.00,0.30,5.55013395038907,5.549861843538497,5.549744535720262,5.587376203481402,5.549879535855135,5.553404992454468,5.550133985399734
AAPL,AAPL170616C00165000,165.00,0.24,4.989143235486779,4.9895293666733505,4.986904129690742,5.024847822123977,4.987031017494453,4.993116730178432,4.989143436649643
BA,BA170616C00095000,95.00,34.23,40.532747250790244,40.53444669990121,40.53247277402289,40.52544020424377,40.53248086564085,40.53274273354681,40.53274752173569
BA,BA170616C00110000,110.00,21.40,29.904918043247243,29.905680152993455,29.90483340961603,29.895375881966224,29.90484285218561,29.902946678062055,29.904917566154975
BA,BA170616C00120000,120.00,14.50,23.961728334653703,23.965873078516204,23.95957384833717,23.95497910010636,23.959583693407932,23.964245797827495,23.961727388657497
BA,BA170616C00125000,125.00,13.26,21.340814953366507,21.344147900758898,21.343948885787935,21.333119493556246,21.34395887075554,21.34374107873379,21.340813835146538
