Symbol,Tag,Strike,Real,Barone-Adesi Whaley,Bjerksund-Stensland,FDAmerican,Cox-Ross-Rubenstein,Jarrow-Rudd,Equal Probabilities,Trigeorgis,Tian,Leisen-Reimer
NKE,NKE170120C00082500,82.5,0.12,0,0,0,0,0,0,0,0,0
NKE,NKE170120C00085000,85,0.06,0,0,0,0,0,0,0,0,0
NKE,NKE170120C00087500,87.5,0.04,0,0,0,0,0,0,0,0,0
NKE,NKE170120C00090000,90,0.04,0,0,0,0,0,0,0,0,0
NKE,NKE170120C00092500,92.5,0.05,0,0,0,0,0,0,0,0,0
NKE,NKE170120C00095000,95,0.04,0,0,0,0,0,0,0,0,0
NKE,NKE170120C00097500,97.5,0.01,0,0,0,0,0,0,0,0,0
NKE,NKE170120C00100000,100,0.04,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00030000,30,27,23.47,23.47,23.47,23.47,23.47,23.47,23.47,23.47,23.47
NKE,NKE180119C00032500,32.5,28.51,20.972,20.972,20.972,20.972,20.972,20.972,20.972,20.972,20.972
NKE,NKE180119C00035000,35,20.14,18.475,18.475,18.475,18.475,18.475,18.475,18.475,18.475,18.475
NKE,NKE180119C00037500,37.5,23.13,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977,15.977
NKE,NKE180119C00040000,40,15.74,13.479,13.479,13.479,13.479,13.479,13.479,13.479,13.479,13.479
NKE,NKE180119C00042500,42.5,14.55,10.982,10.982,10.982,10.982,10.982,10.982,10.982,10.982,10.982
NKE,NKE180119C00045000,45,12.72,8.484,8.484,8.484,8.484,8.484,8.484,8.484,8.484,8.484
NKE,NKE180119C00047500,47.5,10.97,5.987,5.987,5.987,5.987,5.987,5.987,5.987,5.987,5.987
NKE,NKE180119C00050000,50,8.7,3.489,3.489,3.489,3.489,3.489,3.489,3.489,3.489,3.489
NKE,NKE180119C00052500,52.5,8.18,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992
NKE,NKE180119C00055000,55,6.13,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00057500,57.5,5.3,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00060000,60,4.15,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00062500,62.5,3.35,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00065000,65,2.63,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00067500,67.5,2.06,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00070000,70,1.63,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00072500,72.5,1.37,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00075000,75,1,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00077500,77.5,1.26,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00080000,80,0.59,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00082500,82.5,0.56,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00085000,85,0.74,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00087500,87.5,0.34,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00090000,90,0.25,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00092500,92.5,0.18,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00095000,95,0.17,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00097500,97.5,0.1,0,0,0,0,0,0,0,0,0
NKE,NKE180119C00100000,100,0.09,0,0,0,0,0,0,0,0,0
PFE,PFE160610C00032000,32,0.96,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712
PFE,PFE160610C00032500,32.5,2.09,2.212,2.212,2.212,2.212,2.212,2.212,2.212,2.212,2.212
PFE,PFE160610C00033000,33,1.55,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713
PFE,PFE160610C00033500,33.5,1.23,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213
PFE,PFE160610C00034000,34,0.85,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
PFE,PFE160610C00034500,34.5,0.47,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214
PFE,PFE160610C00035000,35,0.14,0,0,0,0,0,0,0,0,0
PFE,PFE160610C00035500,35.5,0.03,0,0,0,0,0,0,0,0,0
PFE,PFE160610C00036000,36,0.02,0,0,0,0,0,0,0,0,0
PFE,PFE160617C00016000,16,17.7,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696,18.696
PFE,PFE160617C00020000,20,13.63,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
PFE,PFE160617C00023000,23,10.63,11.703,11.703,11.703,11.703,11.703,11.703,11.703,11.703,11.703
PFE,PFE160617C00024000,24,9.9,10.704,10.704,10.704,10.704,10.704,10.704,10.704,10.704,10.704
PFE,PFE160617C00025000,25,9.05,9.705,9.705,9.705,9.705,9.705,9.705,9.705,9.705,9.705
PFE,PFE160617C00026000,26,8.6,8.706,8.706,8.706,8.706,8.706,8.706,8.706,8.706,8.706
PFE,PFE160617C00027000,27,7.84,7.707,7.707,7.707,7.707,7.707,7.707,7.707,7.707,7.707
PFE,PFE160617C00028000,28,6.6,6.708,6.708,6.708,6.708,6.708,6.708,6.708,6.708,6.708
PFE,PFE160617C00029000,29,5.4,5.709,5.709,5.709,5.709,5.709,5.709,5.709,5.709,5.709
PFE,PFE160617C00030000,30,4.7,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71
PFE,PFE160617C00031000,31,3.95,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711
PFE,PFE160617C00032000,32,2.67,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712
PFE,PFE160617C00032500,32.5,2.31,2.212,2.212,2.212,2.212,2.212,2.212,2.212,2.212,2.212
PFE,PFE160617C00033000,33,1.8,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713
PFE,PFE160617C00033500,33.5,1.53,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213
PFE,PFE160617C00034000,34,0.93,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
PFE,PFE160617C00034500,34.5,0.57,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214
PFE,PFE160617C00035000,35,0.26,0,0,0,0,0,0,0,0,0
PFE,PFE160617C00035500,35.5,0.12,0,0,0,0,0,0,0,0,0
PFE,PFE160617C00036000,36,0.07,0,0,0,0,0,0,0,0,0
PFE,PFE160617C00036500,36.5,0.04,0,0,0,0,0,0,0,0,0
PFE,PFE160617C00037000,37,0.02,0,0,0,0,0,0,0,0,0
PFE,PFE160617C00038000,38,0.01,0,0,0,0,0,0,0,0,0
PFE,PFE160617C00039000,39,0.01,0,0,0,0,0,0,0,0,0
PFE,PFE160617C00040000,40,0.03,0,0,0,0,0,0,0,0,0
PFE,PFE160617C00041000,41,0.01,0,0,0,0,0,0,0,0,0
PFE,PFE160617C00042000,42,0.04,0,0,0,0,0,0,0,0,0
PFE,PFE160617C00043000,43,0.03,0,0,0,0,0,0,0,0,0
PFE,PFE160617C00044000,44,0.03,0,0,0,0,0,0,0,0,0
PFE,PFE160624C00032000,32,1.72,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712
PFE,PFE160624C00032500,32.5,2.31,2.212,2.212,2.212,2.212,2.212,2.212,2.212,2.212,2.212
PFE,PFE160624C00033000,33,1.75,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713
PFE,PFE160624C00033500,33.5,1.29,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213
PFE,PFE160624C00034000,34,1.02,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
PFE,PFE160624C00034500,34.5,0.67,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214
PFE,PFE160624C00035000,35,0.4,0,0,0,0,0,0,0,0,0
PFE,PFE160624C00035500,35.5,0.27,0,0,0,0,0,0,0,0,0
PFE,PFE160624C00036000,36,0.07,0,0,0,0,0,0,0,0,0
PFE,PFE160701C00030000,30,3.88,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71
PFE,PFE160701C00031000,31,3.25,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711
PFE,PFE160701C00032500,32.5,2.23,2.212,2.212,2.212,2.212,2.212,2.212,2.212,2.212,2.212
PFE,PFE160701C00033000,33,1.38,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713
PFE,PFE160701C00033500,33.5,1.48,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213
PFE,PFE160701C00034000,34,0.99,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
PFE,PFE160701C00034500,34.5,0.85,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214
PFE,PFE160701C00035000,35,0.41,0,0,0,0,0,0,0,0,0
PFE,PFE160701C00035500,35.5,0.24,0,0,0,0,0,0,0,0,0
PFE,PFE160701C00036000,36,0.19,0,0,0,0,0,0,0,0,0
PFE,PFE160701C00036500,36.5,0.1,0,0,0,0,0,0,0,0,0
PFE,PFE160701C00037500,37.5,0.03,0,0,0,0,0,0,0,0,0
PFE,PFE160701C00038000,38,0.03,0,0,0,0,0,0,0,0,0
PFE,PFE160708C00034500,34.5,0.75,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214
PFE,PFE160708C00035000,35,0.63,0,0,0,0,0,0,0,0,0
PFE,PFE160708C00035500,35.5,0.34,0,0,0,0,0,0,0,0,0
PFE,PFE160708C00036000,36,0.16,0,0,0,0,0,0,0,0,0
PFE,PFE160708C00036500,36.5,0.14,0,0,0,0,0,0,0,0,0
PFE,PFE160708C00037500,37.5,0.05,0,0,0,0,0,0,0,0,0
PFE,PFE160708C00038500,38.5,0.04,0,0,0,0,0,0,0,0,0
PFE,PFE160715C00024000,24,9.62,10.704,10.704,10.704,10.704,10.704,10.704,10.704,10.704,10.704
PFE,PFE160715C00026000,26,7.62,8.706,8.706,8.706,8.706,8.706,8.706,8.706,8.706,8.706
PFE,PFE160715C00027000,27,6.1,7.707,7.707,7.707,7.707,7.707,7.707,7.707,7.707,7.707
PFE,PFE160715C00028000,28,5.25,6.708,6.708,6.708,6.708,6.708,6.708,6.708,6.708,6.708
PFE,PFE160715C00029000,29,5.9,5.709,5.709,5.709,5.709,5.709,5.709,5.709,5.709,5.709
PFE,PFE160715C00030000,30,4.43,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71
PFE,PFE160715C00031000,31,3.66,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711
PFE,PFE160715C00032000,32,3.05,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712
PFE,PFE160715C00033000,33,2.14,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713
PFE,PFE160715C00034000,34,1.15,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
PFE,PFE160715C00035000,35,0.58,0,0,0,0,0,0,0,0,0
PFE,PFE160715C00036000,36,0.23,0,0,0,0,0,0,0,0,0
PFE,PFE160715C00037000,37,0.1,0,0,0,0,0,0,0,0,0
PFE,PFE160715C00038000,38,0.02,0,0,0,0,0,0,0,0,0
PFE,PFE160715C00039000,39,0.02,0,0,0,0,0,0,0,0,0
PFE,PFE160715C00040000,40,0.02,0,0,0,0,0,0,0,0,0
PFE,PFE160722C00033500,33.5,1.77,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213,1.213
